INDICATIVO;NOMBRE;NOM_PROV;NOM_MUNI;ALTITUD;LATITUD;LONGITUD;C_X;C_Y;DATUM;IND_SYN;ALTA;BAJA
1387E;A CORU—A/ALVEDRO;A CORU—A;CULLEREDO;98;431825;0822192;64289;4808938;ETRS89;08002;01/12/1971;
1400;FISTERRA;A CORU—A;FISTERRA;230;425529;0917292;-13503;4771704;ETRS89;08040;01/01/1913;
1428;SANTIAGO DE COMPOSTELA/LAVACOLLA;A CORU—A;O PINO;370;425317;0824382;58145;4762610;ETRS89;08042;01/11/1943;
1475A;SANTIAGO DE COMPOSTELA OBS. ASTRONOMICO;A CORU—A;SANTIAGO DE COMPOSTELA;240;425227;0833062;46517;4761820;ETRS89;;01/01/1982;
1477U;VILAGARCIA DE AROUSA;PONTEVEDRA;VILAGARCÕA DE AROUSA;36;423456;0846112;26477;4730591;ETRS89;;01/07/1986;30/09/2023
1484C;PONTEVEDRA;PONTEVEDRA;PONTEVEDRA;113;422618;0836572;38048;4713754;ETRS89;08044;01/10/1985;
1495;VIGO/PEINADOR;PONTEVEDRA;REDONDELA;255;421419;0837262;35914;4691612;ETRS89;08045;01/01/1951;
1505;LUGO/ROZAS;LUGO;CASTRO DE REI;442;430641;0727272;137309;4782840;ETRS89;08008;01/01/1951;
1542;PUERTO DE LEITARIEGOS;ASTURIAS;CANGAS DEL NARCEA;1530;425939;0624512;221679;4765828;ETRS89;08052;01/01/1961;
1549;PONFERRADA;LEON;PONFERRADA;532;423350;0636002;204486;4718674;ETRS89;08053;01/01/1951;
1631E;POBRA DE TRIVES,SAN MAMEDE;OURENSE;A POBRA DE TRIVES;840;422022;0716572;147194;4696358;ETRS89;08051;01/01/1994;
1690A;OURENSE;OURENSE;OURENSE;146;421931;0751352;99540;4697347;ETRS89;08048;01/08/1972;
1700O;MESIEGO;OURENSE;O CARBALLI—O;400;422506;0805172;81340;4708787;ETRS89;;01/03/1953;
2030;SORIA;SORIA;SORIA;1081;414630;0228592;542963;4624924;ETRS89;08148;01/11/1943;
2117D;ARANDA DE DUERO;BURGOS;ARANDA DE DUERO;790;413957;0344342;438164;4612942;ETRS89;08144;01/04/2002;
2150H;LA PINILLA, ESTACI”N DE ESQUÕ;SEGOVIA;CEREZO DE ARRIBA;1798;411131;0328312;460145;4560174;ETRS89;08143;01/01/1977;
2235U;CERVERA DE PISUERGA;PALENCIA;CERVERA DE PISUERGA;1140;425214;0431122;375846;4747561;ETRS89;08058;01/06/1986;
2298;PALACIOS DE LA SIERRA;BURGOS;PALACIOS DE LA SIERRA;1080;415735;0307542;489089;4645313;ETRS89;08149;01/02/1934;
2331;BURGOS/VILLAFRÕA;BURGOS;BURGOS;891;422125;0337172;448827;4689596;ETRS89;08075;01/08/1943;
2374X;CARRI”N DE LOS CONDES;PALENCIA;CARRI”N DE LOS CONDES;830;422103;0437022;366802;4689997;ETRS89;08068;01/12/1988;
2422;VALLADOLID;VALLADOLID;VALLADOLID;734;413827;0445162;353884;4611387;ETRS89;08141;01/10/1973;
2444;¡VILA;AVILA;¡VILA;1130;403933;0440472;358004;4502279;ETRS89;08210;01/01/1983;
2462;NAVACERRADA,PUERTO;MADRID;CERCEDILLA;1893;404735;0400382;414745;4516276;ETRS89;08215;01/01/1946;
2465;SEGOVIA;SEGOVIA;SEGOVIA;1008;405643;0407352;405190;4533294;ETRS89;08213;01/10/1988;
2491C;LA COVATILLA, ESTACI”N DE ESQUÕ;SALAMANCA;LA HOYA;1960;402118;0541242;271562;4470635;ETRS89;08205;01/12/2001;
2539;VALLADOLID/VILLANUBLA;VALLADOLID;VILLANUBLA;846;414243;0451202;345633;4619459;ETRS89;08140;01/11/1936;
